activity_id,activity_ja,activity_en,search
172,飲食施設・レストラン,restaurant,
173,診断・占い,diagnosis,
174,写真撮影・フォトスタジオ,photography-studio,
175,イベント・パーティ,event-party,
176,スノーシュー,snowshoeing,
177,バックカントリー,backcountry,
178,テレマークスキー,telemark-skiing,
179,クロスカントリースキー,crosscountryskiing,
180,スキースクール,ski-lessons,
181,スノーボードスクール,snowboard-lessons,
182,スノーカイト,snowkite,
183,エアボード,snow-airboard,
184,ソリ・スライダー,snow-slider,
185,雪上トーイング,snow-towing,
186,犬ぞり,dogsled,
187,スノーモービル,snowmobile,
188,ワカサギ釣り,smeltfishing,
189,流氷ウォーク,drift-ice-walk,
